threshold_prob,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none
0.01,0.104949032323334,0.10494547366055747,0.0
0.02,0.09591395066255401,0.09581226420811417,0.0
0.03,0.08674861580465451,0.08649074115871329,0.0
0.04,0.07749089871994899,0.07697501971244988,0.0
0.05,0.06837416658057646,0.06725896728837041,0.0
0.060000000000000005,0.0594971531617199,0.05733619034462966,0.0
0.06999999999999999,0.05158411249598852,0.04720002034833537,0.0
0.08,0.04464459601695454,0.03684349883038249,0.0
0.09,0.03874332924612254,0.02625936145489219,0.0
0.09999999999999999,0.03406758714021284,0.01544002102661321,0.0
0.11,0.02958535712286261,0.004377549352754931,0.0
0.12,0.02545536903078803,-0.006936342131872844,0.0
0.13,0.021479772972741572,-0.018510323075917393,0.0
0.14,0.018080052249209062,-0.03035346636749782,0.0
0.15000000000000002,0.015616997214105324,-0.04247527185417428,0.0
0.16,0.014427835656885935,-0.054885691757200164,0.0
0.17,0.01254057449790101,-0.06759515792294955,0.0
0.18000000000000002,0.011027105590397587,-0.0806146110683514,0.0
0.19,0.010063446438368848,-0.093955532192652,0.0
0.2,0.008858020031204387,-0.10762997634506015,0.0
0.21000000000000002,0.007855886435901988,-0.12165060895702297,0.0
0.22,0.007839812309086053,-0.13603074496929246,0.0
0.23,0.007123280866297627,-0.15078439100785468,0.0
0.24000000000000002,0.0064395474568952945,-0.16592629088953703,0.0
0.25,0.005821463922022582,-0.18147197476806415,0.0
0.26,0.005598834528322676,-0.1974378122649299,0.0
0.27,0.005214980037050902,-0.2138410699671892,0.0
0.28,0.004859608211563518,-0.23069997371673356,0.0
0.29000000000000004,0.004405617357069083,-0.24803377616344813,0.0
0.3,0.00401199283880848,-0.2658628301086402,0.0
0.31,0.0035858058690218016,-0.28420866822615676,0.0
0.32,0.0038398569453449508,-0.30309408981771785,0.0
0.33,0.003622233089422283,-0.3225432553373853,0.0
0.34,0.003398014571198928,-0.3425817895091639,0.0
0.35000000000000003,0.0031668970216456246,-0.363236893963151,0.0
0.36000000000000004,0.00292855704866878,-0.3845374704313253,0.0
0.37,0.002682650727343465,-0.4065142556762669,0.0
0.38,0.0024288119440399134,-0.429199969477497,0.0
0.39,0.002166650577677228,-0.45262947717384944,0.0
0.4,0.0018957504991024537,-0.4768399684600803,0.0
0.41000000000000003,0.0010876324672366715,-0.5018711543661833,0.0
0.42000000000000004,0.0009979156579040995,-0.5277654846138762,0.0
0.43,0.0009430188789200846,-0.554568387852716,0.0
0.44,0.0005931709842324367,-0.5823285376358003,0.0
0.45,0.0005490508283804373,-0.6110981474109966,0.0
0.46,0.0005032965926820676,-0.640933298288978,0.0
0.47000000000000003,7.8818145646437e-05,-0.671894303917072,0.0
0.48000000000000004,6.968722052520934e-05,-0.7040461174539387,0.0
0.49,6.0198219909031627e-05,-0.7374587864236237,0.0
0.5,5.032965926820676e-05,-0.7722079621520963,0.0
