attribute,group,n,positive_rate,roc_auc,sensitivity,ppv,f1
gender,Female,10651,0.113,0.66,0.804,0.141,0.239
gender,Male,9218,0.115,0.683,0.808,0.15,0.253
age,50-70,7874,0.108,0.671,0.753,0.145,0.243
age,70+,8812,0.12,0.649,0.873,0.135,0.234
age,<50,3183,0.112,0.73,0.732,0.194,0.307
race,AfricanAmerican/Missing,4284,0.109,0.666,0.792,0.142,0.242
race,Asian,128,0.156,0.769,0.75,0.238,0.361
race,Caucasian,14743,0.116,0.67,0.81,0.146,0.247
race,Hispanic,410,0.078,0.775,0.875,0.124,0.218
race,Other,304,0.099,0.603,0.733,0.126,0.216
